database,records,search_query,filters,date_searched
PubMed,286,"(""nicotinamide mononucleotide"" OR ""NMN"" OR ""nicotinamide riboside"" OR ""NR""[tiab] OR ""NIAGEN"" OR ""NAD+ precursor"" OR ""NAD precursor"") AND (""randomized controlled trial""[pt] OR ""randomized""[tiab] OR ""placebo""[tiab] OR ""RCT""[tiab]) AND (""insulin""[tiab] OR ""glucose""[tiab] OR ""HOMA""[tiab] OR ""HbA1c""[tiab] OR ""glycated hemoglobin""[tiab] OR ""lipid""[tiab] OR ""cholesterol""[tiab] OR ""triglyceride""[tiab] OR ""body weight""[tiab] OR ""body composition""[tiab] OR ""BMI""[tiab] OR ""blood pressure""[tiab] OR ""energy expenditure""[tiab] OR ""NAD+""[tiab] OR ""metabolic""[tiab] OR ""fasting""[tiab] OR ""C-reactive protein""[tiab] OR ""interleukin""[tiab] OR ""liver enzyme""[tiab] OR ""ALT""[tiab] OR ""AST""[tiab]); Filter: Humans, Clinical Trial or RCT",Humans; Clinical Trial or RCT publication type,2025-03-06
Embase (Ovid),375,"1: nicotinamide mononucleotide.mp. OR NMN.ti,ab. OR beta-nicotinamide mononucleotide.mp. OR MIB-626.mp. 2: nicotinamide riboside.mp. OR NIAGEN.mp. OR NR.ti,ab. 3: NAD+ precursor*.mp. OR NAD precursor*.mp. 4: 1 OR 2 OR 3; 5: insulin.ti,ab. OR glucose.ti,ab. OR HOMA*.ti,ab. OR HbA1c.ti,ab. OR glycated hemoglobin.ti,ab. OR lipid*.ti,ab. OR cholesterol.ti,ab. OR triglyceride*.ti,ab. OR body weight.ti,ab. OR body mass index.ti,ab. OR BMI.ti,ab. OR body composition.ti,ab. OR body fat.ti,ab. OR lean mass.ti,ab. OR energy expenditure.ti,ab. OR blood pressure.ti,ab. OR NAD+.ti,ab. OR C-reactive protein.ti,ab. OR CRP.ti,ab. OR interleukin*.ti,ab. OR ALT.ti,ab. OR AST.ti,ab. OR metabolic.ti,ab. 6: randomized controlled trial/ OR randomized.ti,ab. OR placebo.ti,ab. OR double-blind*.ti,ab. OR clinical trial/ OR crossover.ti,ab. 7: 4 AND 5 AND 6; 8: limit 7 to human; 9: remove duplicates from 8",Humans; remove duplicates,2025-03-06
Scopus,398,"TITLE-ABS-KEY((""nicotinamide mononucleotide"" OR ""NMN"" OR ""beta-nicotinamide mononucleotide"" OR ""MIB-626"" OR ""nicotinamide riboside"" OR ""NIAGEN"" OR ""NAD+ precursor"" OR ""NAD precursor"") AND (""randomized"" OR ""randomised"" OR ""placebo"" OR ""RCT"" OR ""clinical trial"") AND (""insulin"" OR ""glucose"" OR ""HOMA"" OR ""HbA1c"" OR ""lipid"" OR ""cholesterol"" OR ""triglyceride"" OR ""body weight"" OR ""body composition"" OR ""BMI"" OR ""blood pressure"" OR ""energy expenditure"" OR ""NAD+"" OR ""C-reactive protein"" OR ""metabolic"" OR ""ALT"" OR ""AST"")); Limit: Document type = Article OR Review; Source type = Journal",Article or Review; Journal source,2025-03-06
Web of Science,319,"TS=((""nicotinamide mononucleotide"" OR ""NMN"" OR ""beta-nicotinamide mononucleotide"" OR ""MIB-626"" OR ""nicotinamide riboside"" OR ""NIAGEN"" OR ""NAD+ precursor"" OR ""NAD precursor"") AND (""randomized"" OR ""randomised"" OR ""placebo"" OR ""RCT"" OR ""clinical trial"") AND (""insulin"" OR ""glucose"" OR ""HOMA"" OR ""HbA1c"" OR ""lipid"" OR ""cholesterol"" OR ""triglyceride"" OR ""body weight"" OR ""body composition"" OR ""BMI"" OR ""blood pressure"" OR ""energy expenditure"" OR ""NAD+"" OR ""C-reactive protein"" OR ""metabolic"" OR ""ALT"" OR ""AST"")); Refined by: Document Types = Article",Article document type,2025-03-06
Cochrane CENTRAL,309,"#1: ""nicotinamide mononucleotide"" OR ""NMN"" OR ""beta-nicotinamide mononucleotide"" OR ""MIB-626""; #2: ""nicotinamide riboside"" OR ""NR"" OR ""NIAGEN""; #3: ""NAD+ precursor"" OR ""NAD precursor""; #4: #1 OR #2 OR #3; #5: ""insulin"" OR ""glucose"" OR ""HOMA-IR"" OR ""HbA1c"" OR ""glycated hemoglobin"" OR ""lipid"" OR ""cholesterol"" OR ""triglyceride"" OR ""body weight"" OR ""body mass index"" OR ""BMI"" OR ""body composition"" OR ""body fat"" OR ""lean mass"" OR ""energy expenditure"" OR ""blood pressure"" OR ""NAD+"" OR ""C-reactive protein"" OR ""CRP"" OR ""interleukin"" OR ""ALT"" OR ""AST"" OR ""metabolic""; #6: #4 AND #5; #7: Limit #6 to Trials",Trials,2025-03-06
TOTAL,1687,,,
After deduplication,1125,"Duplicates removed: 562 (DOI, PMID, title fuzzy matching)",,
