study_id,overall_rob,in_nma_dataset,reason_excluded_from_nma,effect_on_results
Elhassan_2019,High,No,Non-registered; no extractable metabolic data; 12-participant crossover,None — not in quantitative synthesis
Igarashi_2022,High,No,52% attrition from supplement error; incomplete metabolic reporting,None — not in quantitative synthesis
