outcome,comparison,full_k,dropped_study,loo_k,full_MD,full_lo,full_up,full_p,full_I2,loo_MD,loo_lo,loo_up,loo_p,loo_I2,direction_change,significance_change
SBP,NMN vs Placebo,4,Morifuji_2024,3,-3.4992,-7.8469,0.8484,0.1147,0.0,-3.9901,-8.9992,1.0190,0.1185,0.0,No,No
SBP,NMN vs Placebo,4,Yoshino_2021,3,-3.4992,-7.8469,0.8484,0.1147,0.0,-3.1582,-7.7928,1.4765,0.1817,0.0,No,No
TC,NMN vs Placebo,2,Huang_2022,1,-4.1603,-17.0272,8.7066,0.5263,0.0,-1.1601,-19.7313,17.4111,0.9026,0.0,No,No
TC,NMN vs Placebo,2,Morifuji_2024,1,-4.1603,-17.0272,8.7066,0.5263,0.0,-6.9300,-24.7736,10.9136,0.4465,0.0,No,No
TC,NR vs Placebo,3,Conze_2019,2,-7.9234,-19.8717,4.0248,0.1937,0.0,0.1058,-18.1664,18.3780,0.9909,0.0,Yes,No
TC,NR vs Placebo,3,Dollerup_2018,2,-7.9234,-19.8717,4.0248,0.1937,0.0,-11.4939,-25.8846,2.8968,0.1175,0.0,No,No
TC,NR vs Placebo,3,Remie_2020,2,-7.9234,-19.8717,4.0248,0.1937,0.0,-8.9255,-22.0134,4.1624,0.1813,4.8,No,No
TG,NMN vs Placebo,4,Huang_2022,3,-17.7762,-36.5297,0.9773,0.0632,0.0,-16.5351,-35.9366,2.8664,0.0948,0.0,No,No
TG,NMN vs Placebo,4,Katayoshi_2023,3,-17.7762,-36.5297,0.9773,0.0632,0.0,-21.2154,-45.3180,2.8872,0.0845,0.0,No,No
TG,NMN vs Placebo,4,Morifuji_2024,3,-17.7762,-36.5297,0.9773,0.0632,0.0,-16.6230,-40.8922,7.6463,0.1794,0.0,No,No
TG,NMN vs Placebo,4,Yoshino_2021,3,-17.7762,-36.5297,0.9773,0.0632,0.0,-17.5053,-37.6904,2.6797,0.0892,0.0,No,No
TG,NR vs Placebo,3,Conze_2019,2,4.1657,-25.3794,33.7108,0.7823,20.0,23.2171,-12.4068,58.8411,0.2015,0.0,No,No
TG,NR vs Placebo,3,Dollerup_2018,2,4.1657,-25.3794,33.7108,0.7823,20.0,-13.0394,-46.1835,20.1047,0.4407,0.0,Yes,No
TG,NR vs Placebo,3,Remie_2020,2,4.1657,-25.3794,33.7108,0.7823,20.0,4.5963,-37.0433,46.2358,0.8287,60.0,No,No
body_weight,NMN vs Placebo,3,Katayoshi_2023,2,0.6101,-3.7981,5.0184,0.7862,0.0,-0.3789,-5.3430,4.5851,0.8811,0.0,Yes,No
body_weight,NMN vs Placebo,3,Morifuji_2024,2,0.6101,-3.7981,5.0184,0.7862,0.0,3.1752,-3.6783,10.0286,0.3638,0.0,No,No
body_weight,NMN vs Placebo,3,Yoshino_2021,2,0.6101,-3.7981,5.0184,0.7862,0.0,0.2576,-4.6782,5.1934,0.9185,0.0,No,No
fasting_insulin,NMN vs Placebo,2,Huang_2022,1,-3.2910,-8.2754,1.6934,0.1956,0.0,-1.4000,-8.6122,5.8122,0.7036,0.0,No,No
fasting_insulin,NMN vs Placebo,2,Yoshino_2021,1,-3.2910,-8.2754,1.6934,0.1956,0.0,-5.0200,-11.9165,1.8765,0.1537,0.0,No,No
